review,sentiment
"RT @turquim5: Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi R$937 https://t.co/aJ1EkFANs7 @VerdadeSManip",negative
@CorretorDino @PastorMalafaia Querido Dilma foi Vitima de sua incompetencia propria incompetencia nem PT queria ela,neutral
"RT @delucca: Primeiro a gente tira a Dilma, depois a gente tira o aumento real do salário mínimo. https://t.co/fPpYEQS7xR",negative
"Gostei de um vídeo @YouTube https://t.co/kMEUZE2DMq, Dilma, Temer, Trump, Rio 2016 e mais - Resumo do Ano - #Sensacionalista",negative
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"@_santanagi um dia o professor perguntou o que aconteceu c a dilma e eu disse golpe, aí todo mundo fico me olhando igual aquele meme",negative
"RT @implicante_org: Obrigado, Lula e Dilma! Brasil ficou em 133º (de 139) na qualidade de matemática e ciências #MaisLidas2016
https://t.co…",negative
"RT @blogdojefferson: Em Atenas, 2011, Dilma gastou R$ 244 mil numa “escala técnica"" de 24 horas, mais de R$ 10 mil/hora. Dessa ""democracia""…",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @implicante_org: Obrigado, Lula e Dilma! Brasil ficou em 133º (de 139) na qualidade de matemática e ciências #MaisLidas2016
https://t.co…",negative
"Quando um DOENTE vê um dep. federal SAUDAR um torturador ""TERROR"" da Dilma, ele se sente apoiado para externar sua RAIVA. @cynaramenezes",negative
"RT @nadanovonofront: Mas FHC, Lula, Dilma e Temer são todos iguais né?",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @Karlmarxbr_Br: ""Dilma é vadia""
""Vou matar o maior nº d vadias""
Afinal oq é vadia p/ a extrema direita ??? É toda mulher q ousa ñ se sub…",negative
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"@alessandrac1803 POis é, se a Dilma e o PT não tivesse jogado o país nessa crise, ele já teria dado o aumento.",negative
"RT @edmilsonpapo10: Um ano que começa com Dilma, Haddad e Obama desempregados e Fidel no quinto dos infernos, me dá esperança de um ano exc…",positive
"RT @ReginaSalomo: Dilma sancionou a Lei do Feminicídio em 9 de março de 2015.
Na manifestação do dia 15,a sanção da Lei já doía nos reacion…",positive
"RT @VazaTemer: 📣  #VazaTemer Dilma liberou créditos, mas não agiu em pedaladas, diz perícia do Senado https://t.co/IJxnHEDh1x",negative
"Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi a R$937 https://t.co/FHBWo4nPHZ",negative
RT @MARCUSPITTER: a arrogância de Dilma petralha acaba em 2017. Petista vai responder por crimes graves https://t.co/477bynwXR7 via @Satank…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @ricardope: Em nota sobre o massacre em Campinas, a presidenta Dilma colocou o dedo na ferida: chamou de ""misoginia"", ""machismo"" e ""femi…",positive
"RT @Eduardo62Ed: Em grampo, Renan diz que bandidos de toga do STF estão putos com Dilma

https://t.co/H8BTjEHxfL",neutral
"RT @implicante_org: Olha a cara da empresa que recebeu R$ 4,8 milhões da campanha de Dilma com apenas 1 notebook #MaisLidas2016
https://t.c…",negative
"@CorretorDino @PastorMalafaia Dilma nao so compactuo como fez alianças com todos esses Politicos corruptos,Sarney,Maluf,Collor.",negative
@nadanovonofront @michaelserra Estamos pagando a conta que a Dilma deixou,neutral
"RT @implicante_org: Olha a cara da empresa que recebeu R$ 4,8 milhões da campanha de Dilma com apenas 1 notebook #MaisLidas2016
https://t.c…",negative
"@MartePiloto Pensar com carinho ele até pensa, mas qdo vê a arrecadação despencar por causa da crise que a Dilma deixou, vê que não dá",negative
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @blogdojefferson: Está na hora de quebrar sigilo dos gastos milionários que Dilma fez com o cartão corporativo. O povo tem o direito de…,positive
"RT @Cidadaodopovo: DILMA 4,5% desemprego, motivo de desespero crise total, fim do mundo. TEMER 12%, motivo de otimismo, esperança, confianç…",positive
"@Damiao_ND mais do mesmo, que se viu nas declarações de voto durante impeachment da Dilma (PT)",positive
"RT @nadanovonofront: Mas FHC, Lula, Dilma e Temer são todos iguais né?",positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
nao sei pq a dilma ainda fica falando dificil fala a lingua do povo,neutral
"RT @turquim5: Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi R$937 https://t.co/aJ1EkFANs7 @VerdadeSManip",negative
"RT @delucca: Primeiro a gente tira a Dilma, depois a gente tira o aumento real do salário mínimo. https://t.co/fPpYEQS7xR",negative
"@BiaDr1 @Karlmarxbr_Br Estou falando do que a Dilma disse:
https://t.co/01pazHoJCv",negative
"RT @implicante_org: Obrigado, Lula e Dilma! Brasil ficou em 133º (de 139) na qualidade de matemática e ciências #MaisLidas2016
https://t.co…",negative
"RT @CarminaJR: Em condição de anonimato, procurador confessa que Lava Jata foi criada para derrubar Dilma Rousseff https://t.co/6osjYFTa1a",positive
"Então todo mundo que não gosta do governo da Dilma vai matar 12 pessoas? É isso mesmo que eu acabei de ler?
Meu pai..",neutral
"RT @delucca: Primeiro a gente tira a Dilma, depois a gente tira o aumento real do salário mínimo. https://t.co/fPpYEQS7xR",negative
"@NCarnaval Você mesma, Dilma Mello.",neutral
"RT @nadanovonofront: Mas FHC, Lula, Dilma e Temer são todos iguais né?",positive
"RT @Cidadaodopovo: DILMA 4,5% desemprego, motivo de desespero crise total, fim do mundo. TEMER 12%, motivo de otimismo, esperança, confianç…",positive
"@freixod @HelenaCarol_ cara, vc merece minha solidariedade. Como conseguiu debater com uma anta dessa?Esse é o nível das seguidoras da Dilma",negative
"RT @LeisDeNilton: Alguém cala o Gilvan agora por favor pq ele é igual a Dilma, quando aparece pra falar fala mais do que deve sem saber de…",negative
"RT @delucca: Primeiro a gente tira a Dilma, depois a gente tira o aumento real do salário mínimo. https://t.co/fPpYEQS7xR",negative
"RT @sandraselmadere: É intolerável que o machismo justifique o feminicídio, diz Dilma Rousseff sobre chacina. https://t.co/oizQCcjt5S https…",positive
"Resultados do FORA PT/DILMA:  Salário mínimo não tem aumento acima da inflação pela 1ª vez desde 2003
Começou a... https://t.co/ot3lx9eSsk",negative
"RT @nadanovonofront: Mas FHC, Lula, Dilma e Temer são todos iguais né?",positive
@turquim5 @VerdadeSManip LUTA AGORA É NO @STF_oficial Anula JÁ O IMPEACHMENT UMA CANETADA Dilma acaba c/ os RETROCE… https://t.co/ilH4d5nD3B,positive
"RT @turquim5: Se Dilma estivesse no poder salário mínimo iria para R$968, com Temer foi R$937 https://t.co/aJ1EkFANs7 @VerdadeSManip",negative
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
RT @Ricamconsult: Queda de Dilma e sua turma foi só o início do expurgo político. Que caiam todos q tiverem q cair. #retrospectiva2016 http…,positive
"RT @FolhadSP: @flaviogomes69 Esse braço direito da Dilma estuprou mais de 25 meninas entre 8 e 15 anos e ainda perseguiu suas familias

REF…",positive
"RT @ReginaSalomo: Dilma sancionou a Lei do Feminicídio em 9 de março de 2015.
Na manifestação do dia 15,a sanção da Lei já doía nos reacion…",positive
